10.13	2	-4	18.3
10.17	1	-4	18.2
10.21	1	-3	17.5
10.25	1	20	17
10.29	2	60	17.8
10.33	14	284	19.3
10.38	27	451	21.3
10.42	42	600	22.5
10.46	60	671	24.3
10.50	60	775	25.9
10.54	50	650	26.1
10.58	85	30	21.5
10.63	53	124	18.1
10.67	50	218	20
10.71	48	156	20.9
10.75	47	135	21.2
10.79	23	17	20.1
10.83	15	-3	19.8
10.88	10	-3	19.5
10.92	7	-3	19.3
10.96	7	-4	19.3
11.00	6	-3	19
11.04	7	-4	18.8
11.08	4	-3	18.2
11.13	4	-4	17.8
11.17	4	-4	17.3
11.21	3	-3	16.7
11.25	4	14	16.6
11.29	7	81	17.3
11.33	13	152	18.8
11.38	19	205	19.1
11.42	24	599	20.3
11.46	39	766	22.8
11.50	55	786	24.6
11.54	61	742	25.9
11.58	61	786	27.2
11.63	56	435	27.4
11.67	66	287	27.1
11.71	52	164	26.3
11.75	45	94	25.8
11.79	30	20	23.5
11.83	28	-3	21.6
11.88	33	-3	20.3
11.92	27	-4	19.1
11.96	25	-4	18.1
12.00	19	-4	17.4
12.04	0	-3	16.7
12.08	0	-3	16.1
12.13	9	-3	15.8
12.17	7	-3	15.5
12.21	5	-2	15.2
12.25	7	18	15.7
12.29	17	163	18.5
12.33	30	339	21.2
12.38	34	515	22.1
12.42	41	662	23.9
12.46	48	746	25.6
12.50	54	809	26.8
12.54	62	826	27.6
12.58	62	707	28.2
12.63	60	584	28.8
12.67	61	497	29.1
12.71	55	293	28.6
12.75	39	132	26.6
12.79	38	19	24.3
12.83	34	-3	22.7
12.88	32	-3	21.7
12.92	27	-3	20.9
12.96	25.5	-4	20.4
13.00	24	-4	19.7
13.04	21	-4	19.4
13.08	23	-4	19
13.12	20	-4	18.5
13.17	17	-4	17.9
13.21	13	-3	17.5
13.25	6	18	17.7
13.29	5	60	19.2
13.33	9	83	21
13.37	14	179	22.4
13.42	26	263	23.9
13.46	35	268	24.6
13.50	41	272	24.8
13.54	45	218	24.2
13.58	49	186	23
13.62	51	131	22.1
13.67	48	84	22
13.71	36	33	21.1
13.75	33	18	20.9
13.79	34	0	21.2
13.83	54	-3	20.5
13.87	53	-3	19.3
13.92	43	-4	18.8
13.96	34	-4	18.5
14.00	19	-4	18.5
14.04	21	-4	18.5
14.08	27	-4	18.5
14.12	37	-4	18.2
14.17	38	-4	17.8
14.21	40	-4	17.8
14.25	40	-2	18.1
14.29	38	41	18.3
14.33	30	50	18.7
14.37	30	63	19.1
14.42	31	148	19.7
14.46	27	113	20
14.50	32	103	20.4
14.54	38	95	20.7
14.58	38	215	21.4
14.62	39	108	21.3
14.67	39	21	21
14.71	43	3	20.5
14.75	42	-3	20.3
14.79	36	-3	20.1
14.83	31	-4	19.9
14.87	33	-3	19.8
14.92	31	-3	19.5
