0	0	2.6	6.1	30	0	0
1	0.51	5.4	6	30	0.15833	0.067797
2	1.01	3.5	5.6	29.6	0.31667	0.13559
3	0	1.2	5.1	29.7	0.475	0.20339
4	0.03	5.3	5.1857	29.743	0.63333	0.27119
5	0	3.3	5.2714	29.786	0.79167	0.33898
6	0	4	5.3571	29.829	0.95	0.40678
7	0	4.7	5.4429	29.871	1.1083	0.47458
8	0	8.3	5.5286	29.914	1.2667	0.54237
9	0	6	5.6143	29.957	1.425	0.61017
10	0.07	7.3	5.7	30	1.5833	0.67797
11	0	7.0643	6.4	29.9	1.7417	0.74576
12	0.06	6.8286	6.7	30.1	1.9	0.81356
13	0.87	6.5929	7.3	29.7	2.0583	0.88136
14	0.01	6.3571	5.5	29.3	2.2167	0.94915
15	0	6.1214	3.3	29.8	2.375	1.0169
16	0.04	5.8857	3.6	30.1	2.5333	1.0847
17	0.55	5.65	4.8	29.8	2.6917	1.1525
18	0	5.4143	4.5	29	2.85	1.2203
19	0	5.1786	5.4	29.2	3.0083	1.2881
20	0	4.9429	6.2	29.3	3.1667	1.3559
21	0	4.7071	5.9	29.1	3.325	1.4237
22	0.67	4.4714	5.9	29.3	3.4833	1.4915
23	0	4.2357	5.8	29.1	3.6417	1.5593
24	0.06	4	5.7	29	3.8	1.6271
25	0	0.2	4.6	29.1	4.9	1.6949
26	0	0.5	3.9	29.5	4.1	1.7627
27	0	7	4.4	29.7	4.6	1.8305
28	0.04	6.9	5.6	30.3	4.2	1.8983
29	0.01	7.7	6.3	30.3	4.1	1.9661
30	0.11	4.5	6.3	30.3	4.5	2.0339
31	0	4	5.8	30.1	3.9	2.1017
32	0	6.3	5.9	30.3	2.6	2.1695
33	0.4	9.8	6.5	30.3	2.7	2.2373
34	0.47	7.2	6.6	30.2	3.8	2.3051
35	0.12	7.1	6.9	29.7	6.1	2.3729
36	0	3.2	5.9	29.5	7.4	2.4407
37	0	2.7	5.1	29.2	5.7	2.5085
38	0	0.4	5.3	29.9	4.2	2.5763
39	0	0.4	4.8	30.2	2.8	2.6441
40	0	0.4	4.3	30.3	2.6	2.7119
41	0.06	1	5.2	30.9	2.7	2.7797
42	0.01	1.4667	3.4	30.9	4.4	2.8475
43	0	1.9333	2.6	30.8	5.5	2.9153
44	0	2.4	3.1	30.8	4.5	2.9831
45	0	5.6	4.2	30.9	3.3	3.0508
46	0	6.8	5.4	30.9	2.1	3.1186
47	0.01	7.7	6.2	30.8	4.7	3.1864
48	0	6.325	5.2	30.5	4.2	3.2542
49	0	4.95	3.3	31.1	3.3	3.322
50	0	3.575	3.3	31.5	1.8	3.3898
51	0	2.2	3.9	31.6	1	3.4576
52	0	2.8	4.3	31.7	0.7	3.5254
53	0.01	4.5	5	31.7	0.7	3.5932
54	0	1.9	4.6	31.3	2.7	3.661
55	0	2.3	4.6	31.9	2.8	3.7288
56	0	1.95	3.9	32.1	3.4	3.7966
57	0	1.6	3.1	32	3.9	3.8644
58	0	1.25	2.7	32.1	3.4	3.9322
59	0	0.9	3	32	2.7	4
60	0.47	0	3.3	32	1.6	4.0678
61	0	0.2	3	31.9	1.9	4.1356
62	0	0.4	2.8	31.7	2	4.2034
63	0	3.3	3.2	31.7	1.1	4.2712
64	0	2.4	3.5	32	0.7	4.339
65	0	2.3	4	31.9	0.5	4.4068
66	0	2.6	4.1	31.6	0.3	4.4746
67	0	6.7	4.6	31.4	0.5	4.5424
68	0.01	11	5.6	31.1	0.7	4.6102
69	0	10.5	6.9	30.9	2.1	4.678
70	0.47	7.8	7	31.2	2.3	4.7458
71	0	8.5	7	31.1	1.6	4.8136
72	0.04	9.5	7.5	30.9	2.9	4.8814
73	0	5	6.5	30.8	8.4	4.9492
74	0	4.8	5.7	31.1	6.7	5.0169
75	0	3.3	6	31.4	2.5	5.0847
76	0	1.7	5.7	31.6	1.4	5.1525
77	0	2.1	5.2	31.9	1.3	5.2203
78	0	1.6	4.9	32.1	1.4	5.2881
79	0	0.9	4.7	32.3	1.2	5.3559
80	0	3.4	5.1	32.2	0.9	5.4237
81	0	5.7	5.5	32.1	0.9	5.4915
82	0	5.8	5.9	32.3	0.7	5.5593
83	0	4.8	5.9	32.2	0.7	5.6271
84	0.02	6.5	5.9	32	1.7	5.6949
85	0	8.9	6.3	31.8	3.6	5.7627
86	0	7.2	6.8	31.8	2.8	5.8305
87	0	7.2	7.4	31.7	3	5.8983
88	0	8.9	7.9	31.7	2.8	5.9661
89	0	9.6	8.3	31.7	3	6.0339
90	0.02	12	8.8	31.6	2.9	6.1017
91	0	12.6	9.5	31.5	2.4	6.1695
92	0.21	9	8.9	31.7	2.1	6.2373
93	0	8.5	9.1	31.4	2.7	6.3051
94	0.19	5.3	8.7	31.2	2.7	6.3729
95	0	7.7	8.4	31.1	1.5	6.4407
96	0.02	9.3	8.5	31.1	2.6	6.5085
97	0.7	6.9	8.4	30.8	2.4	6.5763
98	0	6.5	8	30.8	3.4	6.6441
99	0	8.3	8.7	30.7	3.8	6.7119
100	0	9.2	9.3	30.8	2.6	6.7797
101	0	10.5	9.9	30.9	4	6.8475
102	0	12.8	10.5	30.6	3.6	6.9153
103	0.21	11.3	9.8	30.9	3.1	6.9831
104	0	14.8	10.2	30.9	2.6	7.0508
105	0	14	10.7	30.9	3.5	7.1186
106	0	10.9	10.8	31	2.8	7.1864
107	0	13.4	11.3	31	2.4	7.2542
108	0	15.6	11.9	31	2.3	7.322
109	0	16.7	12.2	31.1	2.3	7.3898
110	0	10.2	12.4	31	2.9	7.4576
111	1.14	8	11.4	31.3	5.8	7.5254
112	2.06	11.3	10.8	30.4	8.5	7.5932
113	0.14	9.9	11	30	8.4	7.661
114	0	12.5	11.6	30.1	7.7	7.7288
115	0	8.7	11.6	30.3	6.8	7.7966
116	0	12.2	11.8	30.5	5.5	7.8644
117	0	11.2	12	30.6	3.8	7.9322
118	0	10.3	12.3	30.6	3.8	8
119	0	11.8	12.4	30.7	4	8.0678
120	0	13	12.5	30.7	4.3	8.1356
121	0	11.9	12.8	30.6	4.2	8.2034
122	0.1	13.4	13	30.6	3	8.2712
123	0	14.9	13.6	30.5	4.7	8.339
124	0	17.5	14.2	30.5	3.2	8.4068
125	0	16.4	14.8	30.4	3.3	8.4746
126	0	11.8	14.4	30.5	3.6	8.5424
127	0	13.2	14	30.5	3.5	8.6102
128	0	13.2	13.4	30.4	3.6	8.678
129	0.03	13.5	13.2	30.3	4.1	8.7458
130	0	12.7	13	30.4	4	8.8136
131	0.88	14.1	13.2	30.2	6	8.8814
132	0	14.2	13.9	30.1	7.4	8.9492
133	0	12.2	14.3	30.1	8.7	9.0169
134	0.49	12.2	13.7	30	6.8	9.0847
135	0.84	13.7	13.6	29.7	6.1	9.1525
136	0	14.3	13.6	29.8	5.3	9.2203
137	0	15.3	14.1	29.9	4.5	9.2881
138	0.78	13.4	14.3	29.8	4.2	9.3559
139	0	15.3	14	29.7	4.6	9.4237
140	0.06	14.3	13.6	29.7	7	9.4915
141	0	12.5	13	29.8	9.4	9.5593
142	0	13.1	12.5	30.1	6.9	9.6271
143	0	15	12.2	30.8	4	9.6949
144	0	15.3	13.1	31	3.8	9.7627
145	0.29	15.5	13.6	30.9	3.4	9.8305
146	0	21.1	14.5	30.5	4.4	9.8983
147	0	20	16	30.4	4.8	9.9661
148	0	18.3	17.2	30.2	4.4	10.034
149	0	20.1	17.4	30.5	3.3	10.102
150	0	17.6	18.7	30.2	2.8	10.169
151	0.29	19.1	19.1	30.1	2.9	10.237
152	0.99	19.7	19.2	30.1	2.1	10.305
153	0.97	17.7	19	29.5	2.3	10.373
154	0.02	16	18.2	29.3	2.2	10.441
155	0.08	17.4	17.9	29.4	2.2	10.508
156	0	17.9	17.8	29.6	2.2	10.576
157	0.93	15.5	17.6	29.4	2.2	10.644
158	0.07	16	16.9	29.2	4	10.712
159	0.19	17.9	17	29.4	4.5	10.78
160	0	16.6	17.3	29.2	6.8	10.847
161	0	16.8	16.4	29.5	9.5	10.915
162	0	16.8	16.2	29.8	5.8	10.983
163	0	20	17	30	4.2	11.051
164	0	18	17.5	30.1	3.7	11.119
165	0	21.5	17.6	30.1	3.4	11.186
166	0	22	18	30.1	3.5	11.254
167	0	20.7	17.7	30.2	4.1	11.322
168	0	20.5	17.6	30.3	3.8	11.39
169	0.05	20.4	18.1	30.3	3.6	11.458
170	0	22	18.4	30.2	3.8	11.525
171	0	21.2	17.5	30.4	3.2	11.593
172	0	20.9	18.4	30.3	3.5	11.661
173	0.25	21.6	17.9	30.3	3.2	11.729
174	1	19.7	17.4	30.1	3.1	11.797
175	0.49	20.6	17.6	29.6	3.3	11.864
176	0	21.7	19.2	29.4	3	11.932
177	0	22.8	20.6	29.3	3.2	12
178	0.55	21.5	21.6	29.1	3.2	12.068
179	0	21	22	29	3.5	12.136
180	0	22.4	21.3	29.2	3.7	12.203
181	0	21.7	20.7	29.4	4.6	12.271
182	0	21.48	20.753	29.422	4.8	12.339
183	0	21.26	20.805	29.444	4.7796	12.407
184	0	21.04	20.858	29.465	4.7593	12.475
185	0	20.82	20.911	29.487	4.7389	12.542
186	0	20.6	20.964	29.509	4.7185	12.61
187	0	21.2	21.016	29.531	4.6981	12.678
188	0	22.6	21.069	29.553	4.6778	12.746
189	0	22.6	21.122	29.575	4.6574	12.814
190	0	22.3	21.175	29.596	4.637	12.881
191	0	22.6	21.227	29.618	4.6167	12.949
192	0	22.2	21.28	29.64	4.5963	13.017
193	0	23.7	21.333	29.662	4.5759	13.085
194	0	22	21.385	29.684	4.5556	13.153
195	0	22.1	21.438	29.705	4.5352	13.22
196	0	27.2	21.491	29.727	4.5148	13.288
197	0	27.5	21.544	29.749	4.4944	13.356
198	0	27.1	21.596	29.771	4.4741	13.424
199	0	24.8	21.649	29.793	4.4537	13.492
200	0	23.4	21.702	29.815	4.4333	13.559
201	0	23.7	21.755	29.836	4.413	13.627
202	0	23.2	21.807	29.858	4.3926	13.695
203	0	22.5	21.86	29.88	4.3722	13.763
204	0	23.6	21.913	29.902	4.3519	13.831
205	0	23.5	21.965	29.924	4.3315	13.898
206	0	23.8	22.018	29.945	4.3111	13.966
207	0.05	24.7	22.071	29.967	4.2907	14.034
208	0.03	24.9	22.124	29.989	4.2704	14.102
209	0	26.5	22.176	30.011	4.25	14.169
210	0	27.4	22.229	30.033	4.2296	14.237
