45.3	5.43	11.55	17.37	4.58	10.4	2.85	0.62	61.99	-26.59
50.65	1.55	14.21	12.55	7.47	11.36	2.04	0.16	61.99	-26.59
50.25	1.5	13.75	12.67	6.93	11.41	2.07	0.15	61.99	-26.59
50.63	1.66	14.03	12.8	6.56	11.39	2.13	0.19	61.99	-26.59
50.55	1.56	14.02	12.79	6.85	11.48	2.18	0.2	61.99	-26.59
50.07	1.63	13.75	12.37	6.84	11.39	2.05	0.17	61.99	-26.59
50.14	1.64	13.72	12.83	6.29	11.53	2.15	0.18	61.99	-26.59
50.41	1.61	13.58	12.95	6.59	11.32	2.16	0.2	61.99	-26.59
51.42	1.23	13.94	12.16	7	12.01	2.11	0.06	59.77	-29.8
51.36	1.16	14.06	12.22	6.98	12.04	2.14	0.06	59.77	-29.8
51.6	1.22	14.2	12.31	7.06	12.03	2.14	0.07	59.77	-29.8
51.48	1.26	14.19	12.55	7.15	12.09	2.11	0.07	59.77	-29.8
51.37	1.24	13.65	12.57	7.05	11.87	2.14	0.07	59.77	-29.8
51.34	1.21	13.85	12.43	7.12	11.91	2.12	0.06	59.77	-29.8
51.79	1.25	13.67	12.45	7.2	11.87	2.14	0.05	59.77	-29.8
51.34	1.27	14.3	12.26	7.23	12.04	2.02	0.07	59.77	-29.8
51.66	1.28	13.67	12.7	7.11	12.31	2.24	0.09	59.77	-29.8
51.52	1.25	13.97	12.65	7.17	12.28	2.14	0.06	59.77	-29.8
51.64	1.33	13.82	12.55	6.73	12.12	2.17	0.08	59.77	-29.8
51.55	1.24	13.63	12.44	7.09	12.24	2.14	0.07	59.77	-29.8
50.62	1.25	14.3	12.45	7.02	11.94	2.12	0.06	59.77	-29.8
52.78	1.34	13.93	12.83	6.98	12.39	2.17	0.08	59.77	-29.8
51.74	1.24	13.86	12.44	6.63	12.05	2.14	0.07	59.77	-29.8
51.57	1.22	13.65	12.29	7.05	12.17	2.12	0.06	59.77	-29.8
50.71	1.26	13.97	12.21	6.79	11.92	2.1	0.05	59.77	-29.8
51.23	1.23	13.76	12.27	6.71	11.96	2.11	0.07	59.77	-29.8
50.75	1.31	14.3	12.01	7.16	11.81	2.04	0.06	59.77	-29.8
51.75	1.46	13.65	13.23	6.61	11.35	2.16	0.07	59.77	-29.8
51.8	1.27	14.01	11.99	6.8	12.04	2.11	0.06	59.77	-29.8
51.99	1.28	13.88	12.08	6.96	11.86	2.08	0.06	59.77	-29.8
50.98	1.27	14.04	12.12	6.92	11.99	2.03	0.07	59.77	-29.8
52.09	1.22	14	12.01	6.85	11.94	2.02	0.06	59.77	-29.8
52.07	1.25	14.02	12.07	6.7	11.95	2.12	0.09	59.77	-29.8
51.66	1.24	13.6	12.22	6.82	11.84	2.05	0.06	59.77	-29.8
51.57	1.12	13.67	12.18	6.76	11.86	2.1	0.07	59.77	-29.8
51.43	1.27	13.94	12.02	7.46	11.75	2.05	0.08	59.77	-29.8
51.81	1.17	14	12.11	7.32	11.82	2.17	0.09	59.77	-29.8
50.83	1.2	13.96	12.14	6.91	11.89	2.02	0.07	59.77	-29.8
